Номер основной БС	Номер 6x
PM0550	PM4550
PM0555	PM4555
PM0559	PM4559
PM0561	PM4561
PM0569	PM4569
PM0570	PM4570
PM0573	PM4573
PM0581	PM4581
PM0582	PM4582
PM0583	PM4583
PM0584	PM4584
PM0587	PM4587
PM0588	PM4588
PM0589	PM4589
PM0590	PM4590
PM0593	PM4593
PM0594	PM4594
PM0597	PM4597
PM0600	PM4600
PM0602	PM4602
PM0603	PM4603
PM0604	PM4604
PM0605	PM4605
PM0606	PM4606
PM0607	PM4607
PM0612	PM4612
PM0613	PM4613
PM0614	PM4614
PM0615	PM4615
PM0617	PM4617
PM0626	PM4626
PM0631	PM4631
PM0632	PM4632
PM0633	PM4633
PM0638	PM4638
PM0644	PM4644
PM0645	PM4645
PM0650	PM4650
PM0652	PM4652
PM0678	PM4678
PM0683	PM4683
PM0708	PM4708
PM0747	PM4747
PM0817	PM4817
PM0821	PM4821
PM0824	PM4824
PM0825	PM4825
PM0871	PM4871
PM0875	PM4875
PM0884	PM4884
PM0899	PM4899
PM0921	PM4921
PM0925	PM4925
PM0991	PM4991
PM2003	PM5004
PM2010	PM6010
PM2011	PM6011
PM2012	PM6012
PM2015	PM6015
PM2017	PM6017
PM2026	PM6026
PM2028	PM6028
PM2030	PM6030
PM2039	PM6039
PM2040	PM6040
PM2172	PM5173
YN0006	YN4006
YN0009	YN4009
YN0010	YN4010
YN0011	YN4011
YN0015	YN4015
YN0016	YN4016
YN0018	YN4018
YN0019	YN4019
YN0022	YN4022
YN0023	YN4023
YN0027	YN4027
YN0028	YN4028
YN0030	YN4030
YN0031	YN4031
YN0032	YN4032
YN0034	YN4034
YN0042	YN4042
YN0043	YN4043
YN0044	YN4044
YN0045	YN4045
YN0046	YN4046
YN0047	YN4047
YN0049	YN4049
YN0052	YN4052
YN0055	YN4055
YN0056	YN4056
YN0057	YN4057
YN0071	YN4071
YN0086	YN4086
YN0087	YN4087
YN0088	YN4088
YN0091	YN4091
YN0092	YN4092
YN0094	YN4094
YN0095	YN4095
YN0096	YN4096
YN0099	YN4099
YN0103	YN4103
YN0106	YN4106
YN0107	YN4107
YN0109	YN4109
YN0126	YN4126
YN0135	YN4135
YN0146	YN4146
YN0151	YN4151
YN0152	YN4152
YN0187	YN4187
YN0192	YN4192
YN0198	YN4198
YN0218	YN4218
YN0238	YN4238
YN0265	YN4265
YN0266	YN4266
YN0269	YN4269
YN0273	YN4273
YN0322	YN4322
YN0330	YN4330
YN0331	YN4331
YN0401	YN4401
YN0483	YN4483
YN0506	YN4506
YN0508	YN4508
YN0513	YN4513
YN0522	YN4522
YN0526	YN4526
YN0543	YN4543
YN0640	YN4640
YN0651	YN4651
KG0007	KG4007
KG0008	KG4008
KG0011	KG4011
KG0072	KG3125
KG0084	KG4084
KG0114	KG3126
KG0115	KG3127
KG0117	KG4117
KG0119	KG4119
KG0120	KG4120
KG0121	KG3128
KG0150	KG4150
KG0153	KG4153
KG0154	KG3129
KG0166	KG4166
KG0167	KG3130
KG0178	KG4178
KG0180	KG4180
KG0181	KG3132
KG0182	KG4182
KG0293	KG4293
KG0294	KG4294
KG0295	KG4295
KG0296	KG4296
KG0297	KG4297
KG0298	KG4298
KG0302	KG4302
KG0372	KG4372
KG0374	KG4374
KG0375	KG4375
KG0376	KG4376
KG2077	KG3077
KG2078	KG3078
KG2080	KG3041
KG2081	KG3174
KG2083	KG3188
KG2084	KG3145
KG2086	KG3168
KG2090	KG3146
KG2091	KG3091
KG2092	KG3134
KG2094	KG3094
KG2096	KG3189
KG2097	KG3097
KG2098	KG3192
KG2099	KG3143
KG2100	KG3149
KG2179	KG3175
KG2180	KG3176
KG2181	KG3135
KG2185	KG3170
KG2187	KG3171
KG2188	KG3193
KG2189	KG3186
KG2191	KG3156
KG2196	KG3172
KG2213	KG3136
KG2228	KG3228
KG2238	KG3147
KG2242	KG3190
KG2283	KG3138
KG2284	KG3157
KG2285	KG3144
KG2371	KG3139
KG2372	KG3140
KG2376	KG3185
KG2377	KG3477
KG2382	KG3148
KG2389	KG3191
KG2390	KG3141
KG2393	KG3158
KG2399	KG3399
KG2400	KG3173
KG2410	KG3410
KG2411	KG3187
TU0001	TU4001
TU0069	TU4069
TU0101	TU4101
TU0103	TU4103
TU0105	TU4105
TU0106	TU4106
TU0109	TU4109
TU0110	TU4110
TU0111	TU4111
TU0113	TU4113
TU0114	TU4114
TU0116	TU4116
TU0117	TU4117
TU0118	TU4118
TU0119	TU4119
TU0124	TU4124
TU0125	TU4125
TU0126	TU4126
TU0127	TU4127
TU0129	TU4129
TU0130	TU4130
TU0131	TU4131
TU0132	TU4132
TU0137	TU4137
TU0139	TU4139
TU0143	TU4143
TU0144	TU4144
TU0149	TU4149
TU0156	TU4156
TU0157	TU4157
TU0158	TU4158
TU0159	TU4159
TU0160	TU4160
TU0163	TU4163
TU0164	TU4164
TU0165	TU4165
TU0167	TU4167
TU0173	TU4173
TU0176	TU4176
TU0178	TU4178
TU0179	TU4179
TU0180	TU4180
TU0183	TU4183
TU0185	TU4185
TU0194	TU4194
TU0195	TU4195
TU0200	TU4200
TU0206	TU4206
TU0208	TU4208
TU0215	TU4215
TU0218	TU4218
TU0220	TU4220
TU0227	TU4227
TU0239	TU4239
TU0248	TU4248
TU0262	TU4262
TU0273	TU4273
TU0289	TU4289
TU0292	TU4292
TU0305	TU4305
TU0320	TU4320
TU0321	TU4321
TU0324	TU4324
TU0333	TU4333
TU0340	TU4340
TU0341	TU4341
TU0362	TU4362
TU0366	TU4366
TU0372	TU4372
TU0378	TU4378
TU0381	TU4381
TU0383	TU4383
TU0390	TU4390
TU0402	TU4402
TU0403	TU4403
TU0405	TU4405
TU0418	TU4418
TU0419	TU4419
TU0432	TU4432
TU0441	TU4441
TU0443	TU4443
TU0449	TU4449
TU0452	TU4452
TU0453	TU4453
TU0572	TU4572
TU0575	TU4575
TU0580	TU4580
TU0585	TU4585
TU0617	TU4617
TU0618	TU4618
TU0646	TU4646
TU0651	TU4651
TU0678	TU4678
TU0733	TU4733
TU0736	TU4736
TU0804	TU4804
TU0829	TU4829
TU0881	TU4881
TU0886	TU4886
TU0889	TU4889
TU0895	TU4895
TU0896	TU4896
TU0961	TU4961
TU0993	TU3994
OB0004	OB5151
OB1088	OB5088
OB2730	OB3730
OB2800	OB3800
OB2801	OB3801
OB2802	OB3802
OB2803	OB3803
OB2804	OB3804
OB2805	OB3805
OB2806	OB3806
OB2807	OB3807
OB2808	OB3808
OB2810	OB5820
OB2811	OB3811
OB2812	OB5912
OB2814	OB5914
OB2817	OB5917
OB2818	OB5918
OB2821	OB5831
OB2822	OB5832
OB2824	OB4824
OB2830	OB4830
OB2833	OB4833
OB2835	OB4835
OB2836	OB4836
OB2839	OB4839
OB2840	OB4840
OB2841	OB4841
OB2842	OB4842
OB2844	OB4844
OB2907	OB4907
OB2930	OB5931
OB2944	OB4944
OB2947	OB4947
OB2974	OB4974
